Timecode List:,00:00:00.569,00:00:07.030,00:00:31.167,00:00:37.996,00:00:40.406,00:00:48.039,00:01:40.363,00:01:44.113,00:02:01.889,00:02:08.584,00:03:11.855,00:03:47.541,00:03:48.646,00:03:53.701,00:04:00.798,00:04:09.937,00:04:11.343,00:04:17.336,00:04:45.925,00:05:42.333,00:05:45.446,00:05:57.532,00:06:22.673,00:06:38.172,00:06:47.546,00:06:56.216,00:07:04.954,00:07:28.521,00:07:51.419,00:07:52.926,00:09:04.399,00:09:12.232,00:10:59.860,00:11:58.009,00:12:04.135,00:12:22.882,00:12:27.569,00:12:31.352,00:13:58.324,00:14:02.978,00:15:24.996,00:16:43.699,00:17:41.581,00:20:00.375,00:21:07.128,00:21:13.756,00:21:14.560,00:22:06.114,00:22:27.572,00:22:29.682,00:24:24.406,00:24:27.218,00:24:42.752,00:24:43.957,00:24:53.732
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
35,21448,00:11:58.009,718.009,21631,00:12:04.135,724.135,183,00:00:06.126,6.126
36,21631,00:12:04.135,724.135,22191,00:12:22.882,742.882,560,00:00:18.747,18.747
37,22191,00:12:22.882,742.882,22331,00:12:27.569,747.569,140,00:00:04.687,4.687
38,22331,00:12:27.569,747.569,22444,00:12:31.352,751.352,113,00:00:03.783,3.783
39,22444,00:12:31.352,751.352,25042,00:13:58.324,838.324,2598,00:01:26.973,86.973
40,25042,00:13:58.324,838.324,25181,00:14:02.978,842.978,139,00:00:04.653,4.653
41,25181,00:14:02.978,842.978,27631,00:15:24.996,924.996,2450,00:01:22.018,82.018
42,27631,00:15:24.996,924.996,29982,00:16:43.699,1003.699,2351,00:01:18.704,78.704
43,29982,00:16:43.699,1003.699,31711,00:17:41.581,1061.581,1729,00:00:57.881,57.881
44,31711,00:17:41.581,1061.581,35857,00:20:00.375,1200.375,4146,00:02:18.795,138.795
45,35857,00:20:00.375,1200.375,37851,00:21:07.128,1267.128,1994,00:01:06.753,66.753
46,37851,00:21:07.128,1267.128,38049,00:21:13.756,1273.756,198,00:00:06.628,6.628
47,38049,00:21:13.756,1273.756,38073,00:21:14.560,1274.560,24,00:00:00.803,0.803
48,38073,00:21:14.560,1274.560,39613,00:22:06.114,1326.114,1540,00:00:51.554,51.554
49,39613,00:22:06.114,1326.114,40254,00:22:27.572,1347.572,641,00:00:21.459,21.459
50,40254,00:22:27.572,1347.572,40317,00:22:29.682,1349.682,63,00:00:02.109,2.109
51,40317,00:22:29.682,1349.682,43744,00:24:24.406,1464.406,3427,00:01:54.725,114.725
52,43744,00:24:24.406,1464.406,43828,00:24:27.218,1467.218,84,00:00:02.812,2.812
53,43828,00:24:27.218,1467.218,44292,00:24:42.752,1482.752,464,00:00:15.533,15.533
54,44292,00:24:42.752,1482.752,44328,00:24:43.957,1483.957,36,00:00:01.205,1.205
55,44328,00:24:43.957,1483.957,44620,00:24:53.732,1493.732,292,00:00:09.775,9.775
56,44620,00:24:53.732,1493.732,44630,00:24:54.067,1494.067,10,00:00:00.335,0.335
